run_name,modes_path,checkpoint,method,r_value,seed,n_samples,selection_flag,k_neighbors,radius,label_index,population,cell_count,covered_any_candidate_pct,covered_label_consistent_pct
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,21,HSC_cells,261,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,22,Immature_B_cells,502,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,23,Mature_CD38lo_B_cells,7796,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,0,CD11b-_Monocyte_cells,912,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,1,Mature_CD38mid_B_cells,608,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,2,Mature_CD4+_T_cells,13964,0.17903179604697794,0.17903179604697794
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,3,Mature_CD8+_T_cells,7821,0.0511443549418233,0.0511443549418233
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,4,Megakaryocyte_cells,3684,2.44299674267101,2.44299674267101
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,5,MEP_cells,194,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,6,MPP_cells,152,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,7,Myelocyte_cells,3025,0.03305785123966942,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,8,Naive_CD4+_T_cells,6987,0.15743523686847002,0.15743523686847002
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,9,Naive_CD8+_T_cells,9564,0.09410288582183186,0.09410288582183186
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,10,NK_cells,3864,0.051759834368530024,0.051759834368530024
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.5,11,CD11bhi_Monocyte_cells,6779,0.0,0.0
