run_name,checkpoint,checkpoint_path,method,r_value,seed,status,all_modes,confident_modes,covered_populations,covered_population_names,mean_purity_labeled_conf,mean_unassigned_conf,mean_knn_dist_conf,nfe,elapsed_sec,modes_path,eval_path,best_path
labeled_v3f3_R2_seed0,labeled,checkpoints/levine13_labeled_100k.pt,v3f3,2.0,0,ok,139,70,10,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells;Pre-B_II_cells,0.9888930242959769,0.08942857142857143,1.1896836352021476,61620,127.73829221725464,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/modes_labeled_v3f3_R2_seed0.npy,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/eval_labeled_v3f3_R2_seed0.csv,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/best_per_population_labeled_v3f3_R2_seed0.csv
labeled_v3f3_R2_seed1,labeled,checkpoints/levine13_labeled_100k.pt,v3f3,2.0,1,ok,149,70,10,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells;Pre-B_II_cells,0.9889686352736362,0.08328571428571431,1.2378643883121527,61620,81.43494009971619,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/modes_labeled_v3f3_R2_seed1.npy,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/eval_labeled_v3f3_R2_seed1.csv,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/best_per_population_labeled_v3f3_R2_seed1.csv
labeled_v3f3_R2_seed2,labeled,checkpoints/levine13_labeled_100k.pt,v3f3,2.0,2,ok,132,64,7,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9925106540393677,0.08250000000000002,1.230093204554339,61620,85.84123182296753,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/modes_labeled_v3f3_R2_seed2.npy,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/eval_labeled_v3f3_R2_seed2.csv,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/best_per_population_labeled_v3f3_R2_seed2.csv
labeled_v3f3_R2_seed3,labeled,checkpoints/levine13_labeled_100k.pt,v3f3,2.0,3,ok,141,66,9,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells;Pre-B_II_cells,0.9917424979108003,0.07939393939393939,1.1021534472067862,61620,91.78055191040039,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/modes_labeled_v3f3_R2_seed3.npy,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/eval_labeled_v3f3_R2_seed3.csv,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/best_per_population_labeled_v3f3_R2_seed3.csv
labeled_v3f3_R2_seed4,labeled,checkpoints/levine13_labeled_100k.pt,v3f3,2.0,4,ok,135,70,9,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells;Pre-B_II_cells,0.9880201542251168,0.07842857142857144,1.103541054701349,61620,90.7061071395874,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/modes_labeled_v3f3_R2_seed4.npy,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/eval_labeled_v3f3_R2_seed4.csv,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/best_per_population_labeled_v3f3_R2_seed4.csv
