run_name,checkpoint,checkpoint_path,method,r_value,n_samples,seed,nfe,nfe_b0,nfe_b10,mean_b10_shift,status,all_modes,confidently_annotated_modes,covered_populations,covered_population_names,mean_purity_labeled_annotated,mean_unassigned_annotated,mean_knn_dist_annotated,confident_modes,mean_purity_labeled_conf,mean_unassigned_conf,mean_knn_dist_conf,elapsed_sec,modes_path,eval_path,best_path
all_b10_n500_R0.8_seed0,all,checkpoints/levine13_all_100k.pt,b10,0.8,500,0,505000,500000,505000,2.0672903060913086,ok,472,137,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9912781589495648,0.09248175182481753,1.1419474713246442,137,0.9912781589495648,0.09248175182481753,1.1419474713246442,2.1671249866485596,results_levine13/baseline_sample_sweep/modes_all_b10_n500_R0.8_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b10_n500_R0.8_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b10_n500_R0.8_seed0.csv
all_b10_n500_R1_seed0,all,checkpoints/levine13_all_100k.pt,b10,1.0,500,0,505000,500000,505000,2.0672903060913086,ok,437,121,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9903488995589039,0.09421487603305785,1.1588489521335252,121,0.9903488995589039,0.09421487603305785,1.1588489521335252,2.5295660495758057,results_levine13/baseline_sample_sweep/modes_all_b10_n500_R1_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b10_n500_R1_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b10_n500_R1_seed0.csv
all_b10_n500_R1.2_seed0,all,checkpoints/levine13_all_100k.pt,b10,1.2,500,0,505000,500000,505000,2.0672903060913086,ok,406,111,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9896116646869403,0.09522522522522522,1.163573845717204,111,0.9896116646869403,0.09522522522522522,1.163573845717204,1.5175371170043945,results_levine13/baseline_sample_sweep/modes_all_b10_n500_R1.2_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b10_n500_R1.2_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b10_n500_R1.2_seed0.csv
all_b10_n500_R1.5_seed0,all,checkpoints/levine13_all_100k.pt,b10,1.5,500,0,505000,500000,505000,2.0672903060913086,ok,350,86,7,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9900659237016386,0.09302325581395351,1.1871406942763996,86,0.9900659237016386,0.09302325581395351,1.1871406942763996,1.468419075012207,results_levine13/baseline_sample_sweep/modes_all_b10_n500_R1.5_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b10_n500_R1.5_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b10_n500_R1.5_seed0.csv
all_b10_n500_R2_seed0,all,checkpoints/levine13_all_100k.pt,b10,2.0,500,0,505000,500000,505000,2.0672903060913086,ok,241,54,7,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9918724569840633,0.08925925925925926,1.17770883784479,54,0.9918724569840633,0.08925925925925926,1.17770883784479,1.2097959518432617,results_levine13/baseline_sample_sweep/modes_all_b10_n500_R2_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b10_n500_R2_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b10_n500_R2_seed0.csv
all_b10_n500_R2.5_seed0,all,checkpoints/levine13_all_100k.pt,b10,2.5,500,0,505000,500000,505000,2.0672903060913086,ok,168,41,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Myelocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9921215361928394,0.08243902439024392,1.149110116526203,41,0.9921215361928394,0.08243902439024392,1.149110116526203,0.8326208591461182,results_levine13/baseline_sample_sweep/modes_all_b10_n500_R2.5_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b10_n500_R2.5_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b10_n500_R2.5_seed0.csv
all_b10_n500_R3_seed0,all,checkpoints/levine13_all_100k.pt,b10,3.0,500,0,505000,500000,505000,2.0672903060913086,ok,116,23,7,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9899488765008296,0.08565217391304349,1.2013081590000567,23,0.9899488765008296,0.08565217391304349,1.2013081590000567,0.727341890335083,results_levine13/baseline_sample_sweep/modes_all_b10_n500_R3_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b10_n500_R3_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b10_n500_R3_seed0.csv
all_b10_n500_R4_seed0,all,checkpoints/levine13_all_100k.pt,b10,4.0,500,0,505000,500000,505000,2.0672903060913086,ok,60,6,5,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Naive_CD8+_T_cells,0.996415770609319,0.05833333333333335,1.3028047901520763,6,0.996415770609319,0.05833333333333335,1.3028047901520763,1.082313060760498,results_levine13/baseline_sample_sweep/modes_all_b10_n500_R4_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b10_n500_R4_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b10_n500_R4_seed0.csv
all_b0_n1000_R0.5_seed0,all,checkpoints/levine13_all_100k.pt,b0,0.5,1000,0,1000000,1000000,1010000,1.969602346420288,ok,999,295,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9893136525885651,0.07874576271186443,1.1142842932914843,295,0.9893136525885651,0.07874576271186443,1.1142842932914843,3.0818653106689453,results_levine13/baseline_sample_sweep/modes_all_b0_n1000_R0.5_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n1000_R0.5_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n1000_R0.5_seed0.csv
all_b0_n1000_R0.8_seed0,all,checkpoints/levine13_all_100k.pt,b0,0.8,1000,0,1000000,1000000,1010000,1.969602346420288,ok,987,287,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9893245008420372,0.07968641114982579,1.12480410332438,287,0.9893245008420372,0.07968641114982579,1.12480410332438,3.5104820728302,results_levine13/baseline_sample_sweep/modes_all_b0_n1000_R0.8_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n1000_R0.8_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n1000_R0.8_seed0.csv
all_b0_n1000_R1_seed0,all,checkpoints/levine13_all_100k.pt,b0,1.0,1000,0,1000000,1000000,1010000,1.969602346420288,ok,938,259,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9898171174908482,0.08108108108108109,1.1475777324998166,259,0.9898171174908482,0.08108108108108109,1.1475777324998166,3.9959750175476074,results_levine13/baseline_sample_sweep/modes_all_b0_n1000_R1_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n1000_R1_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n1000_R1_seed0.csv
all_b0_n1000_R1.2_seed0,all,checkpoints/levine13_all_100k.pt,b0,1.2,1000,0,1000000,1000000,1010000,1.969602346420288,ok,876,224,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9895680131369478,0.08299107142857143,1.169959155812854,224,0.9895680131369478,0.08299107142857143,1.169959155812854,3.1280291080474854,results_levine13/baseline_sample_sweep/modes_all_b0_n1000_R1.2_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n1000_R1.2_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n1000_R1.2_seed0.csv
all_b0_n1000_R1.5_seed0,all,checkpoints/levine13_all_100k.pt,b0,1.5,1000,0,1000000,1000000,1010000,1.969602346420288,ok,741,177,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9895070181938805,0.08734463276836159,1.1777868860873046,177,0.9895070181938805,0.08734463276836159,1.1777868860873046,3.0548689365386963,results_levine13/baseline_sample_sweep/modes_all_b0_n1000_R1.5_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n1000_R1.5_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n1000_R1.5_seed0.csv
all_b0_n1000_R2_seed0,all,checkpoints/levine13_all_100k.pt,b0,2.0,1000,0,1000000,1000000,1010000,1.969602346420288,ok,517,114,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9910482566390495,0.07842105263157895,1.1639067340487264,114,0.9910482566390495,0.07842105263157895,1.1639067340487264,2.1404311656951904,results_levine13/baseline_sample_sweep/modes_all_b0_n1000_R2_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n1000_R2_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n1000_R2_seed0.csv
all_b0_n1000_R2.5_seed0,all,checkpoints/levine13_all_100k.pt,b0,2.5,1000,0,1000000,1000000,1010000,1.969602346420288,ok,336,73,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.990893875087931,0.07616438356164384,1.1557085325218062,73,0.990893875087931,0.07616438356164384,1.1557085325218062,1.3032646179199219,results_levine13/baseline_sample_sweep/modes_all_b0_n1000_R2.5_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n1000_R2.5_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n1000_R2.5_seed0.csv
all_b0_n1000_R3_seed0,all,checkpoints/levine13_all_100k.pt,b0,3.0,1000,0,1000000,1000000,1010000,1.969602346420288,ok,217,50,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9916683663021175,0.075,1.0920221147552533,50,0.9916683663021175,0.075,1.0920221147552533,1.5749292373657227,results_levine13/baseline_sample_sweep/modes_all_b0_n1000_R3_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n1000_R3_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n1000_R3_seed0.csv
all_b0_n1000_R4_seed0,all,checkpoints/levine13_all_100k.pt,b0,4.0,1000,0,1000000,1000000,1010000,1.969602346420288,ok,103,27,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9929456281082293,0.06888888888888889,1.0394075199173518,27,0.9929456281082293,0.06888888888888889,1.0394075199173518,0.741074800491333,results_levine13/baseline_sample_sweep/modes_all_b0_n1000_R4_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n1000_R4_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n1000_R4_seed0.csv
all_b10_n1000_R0.5_seed0,all,checkpoints/levine13_all_100k.pt,b10,0.5,1000,0,1010000,1000000,1010000,1.969602346420288,ok,979,294,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9908664983256262,0.09153061224489797,1.1164492896692304,294,0.9908664983256262,0.09153061224489797,1.1164492896692304,3.2755539417266846,results_levine13/baseline_sample_sweep/modes_all_b10_n1000_R0.5_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b10_n1000_R0.5_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b10_n1000_R0.5_seed0.csv
