mode_id,score_norm_before,score_norm_after,extra_ascent_displacement,perturb_endpoint_distance_mean,perturb_endpoint_distance_max,attraction_fraction_r0.05,attraction_fraction_r0.1,attraction_fraction_r0.2,x_0,refined_x_0,x_1,refined_x_1,x_2,refined_x_2,x_3,refined_x_3,x_4,refined_x_4,x_5,refined_x_5,x_6,refined_x_6,x_7,refined_x_7,x_8,refined_x_8,x_9,refined_x_9,x_10,refined_x_10,x_11,refined_x_11,x_12,refined_x_12,run_name,modes_path,checkpoint,method,r_value,seed
68,5.3088064,3.9939713,0.38385,0.076096,0.12715773,0.375,0.625,1.0,-0.021770997,0.018676074,-0.84945184,-1.0017586,-0.51781946,-0.5176429,0.42150515,0.69310766,-0.17424448,-0.2654843,-0.76503295,-0.76909125,-0.78158087,-0.78086984,0.55372334,0.6146477,1.6447351,1.6521883,0.54072493,0.5052414,0.99227726,0.95929545,0.13387772,0.31875435,-0.7208201,-0.73103297,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
69,10.733671,1.3113343,0.43515468,0.078954086,0.104279935,0.125,0.875,1.0,-2.124011,-2.1237888,-0.7656375,-1.084593,-0.5236511,-0.5222302,-0.91793156,-0.91773367,-0.91647416,-0.9196707,-0.7814871,-0.7841223,-0.7875471,-0.7920919,0.8008391,0.92498624,-0.8817234,-0.8914207,-0.7713968,-0.7721852,-0.7990973,-0.7696885,-0.8052062,-1.0611221,-0.6998092,-0.77545357,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
70,6.8027925,4.7908673,0.5534686,0.06859928,0.22269067,0.5,0.875,0.875,-1.2414039,-1.1094987,-0.92681086,-0.9271475,-0.5272275,-0.5278582,-0.9002388,-0.90122664,-0.9130919,-0.9155722,-0.7688032,-0.7675837,-0.7893316,-0.79440886,-0.6981344,-0.6984773,-0.8701291,-0.878039,0.25130746,0.3860561,-0.5102339,-0.40716612,-0.39123315,0.11398907,0.113150604,0.182442,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
71,14.0418215,3.2651448,0.56476635,0.054947328,0.087977454,0.625,1.0,1.0,-0.27260086,-0.12337875,0.2856123,0.33814174,2.2120142,2.7064779,-0.9005575,-0.89133626,-0.92286235,-0.9221389,-0.77287424,-0.7659548,-0.7605252,-0.77465135,-0.6937045,-0.6903055,-0.11485382,0.073191695,-0.7879829,-0.7803616,1.6610817,1.6802287,-1.0295714,-1.0211124,-0.88740814,-1.0024656,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
72,18.691807,5.723725,1.2508851,0.23512799,0.4415289,0.0,0.25,0.5,0.60037196,0.57135653,-0.23329829,-0.29546443,-0.5207481,-0.53792477,1.9593146,2.1960268,0.1036406,-0.9329982,-0.7765082,-0.7793771,0.41579422,0.5816277,0.34945935,0.7093273,1.8159901,1.7106372,0.3064043,0.6422442,0.608742,0.23248813,-0.7302685,-0.65159655,-0.8451681,-0.8251227,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
73,11.748703,9.244666,0.86584735,0.07714047,0.1093979,0.25,0.875,1.0,0.535277,0.49611276,-0.5810777,-0.5854456,-0.5228941,-0.53175026,2.0622318,2.2417285,0.14058283,-0.67970765,-0.77387846,-0.7871888,-0.77673066,-0.77955484,-0.69420725,-0.6898373,1.7282132,1.700489,1.0632071,1.0181085,0.4452492,0.319542,0.42777094,0.29477426,-0.7577049,-0.677283,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
74,5.3571796,3.0081508,0.37406215,0.06841282,0.10813202,0.375,0.875,1.0,0.72397214,0.75047094,-0.34049687,-0.28618217,-0.52750236,-0.52775234,-0.9226368,-0.92194355,-0.8934268,-0.89218223,1.9931779,2.0549066,0.23937598,0.37541705,-0.67377746,-0.6707716,-0.85604745,-0.8544202,0.43427634,0.48568735,-0.7315897,-0.7967318,-0.114530005,0.21164905,0.836591,0.8109113,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
75,7.063248,0.7784781,0.44475394,0.42475674,0.93748814,0.5,0.5,0.5,0.4521569,0.48019788,1.0292448,1.0660646,-0.53042954,-0.53458107,-0.54498434,-0.8883261,1.5699414,1.5875989,-0.007253226,0.24181923,0.4301831,0.31363726,-0.69161373,-0.69027334,-0.8844963,-0.880371,-0.7744792,-0.7712787,0.055708475,0.071307704,-1.0679483,-1.0653638,1.0774009,1.1168013,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
76,4.5536723,1.952261,0.29090613,0.049604427,0.114506446,0.625,0.875,1.0,0.48144227,0.48736784,1.3449799,1.3340639,-0.51946855,-0.51727355,-0.90025496,-0.89657056,-0.9111115,-0.9133083,1.8101163,1.8126978,-0.76607966,-0.7655722,-0.07290009,0.1519982,-0.2055051,-0.12139242,-0.7652891,-0.76425195,-0.42184055,-0.4615202,0.06298865,0.22162634,0.6036686,0.59686387,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
77,7.4977093,3.645301,0.47090945,0.05314074,0.077055745,0.5,1.0,1.0,0.60064334,0.68929183,0.09471103,-0.06113409,-0.52447915,-0.5317207,-0.914399,-0.9085512,-0.17810832,-0.16726972,1.9586891,2.1014354,-0.7719476,-0.7659354,0.9612313,0.6620495,-0.90664804,-0.90154266,-0.76554394,-0.763543,-0.3271335,-0.23557854,-1.0368205,-1.0498954,0.6950904,0.96136016,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
