checkpoint,method,r_value,all_modes,confident_modes,covered_populations,mean_purity_labeled_conf,mean_unassigned_conf,mean_knn_dist_conf,nfe,elapsed_sec
all,v2,0.5,30,14,6,1.0,0.0492857142857142,1.0206923023086047,33560,34.47380805015564
all,v2,0.8,30,14,6,1.0,0.0492857142857142,1.0206923023086047,33560,32.0452299118042
all,v2,1.0,30,14,6,1.0,0.0492857142857142,1.0206923023086047,33560,31.75273394584656
all,v2,1.2,29,14,6,0.9962406015037594,0.0528571428571428,1.023650347836167,33560,31.745222091674805
all,v2,1.5,29,14,6,0.9962406015037594,0.0528571428571428,1.023650347836167,33560,33.40080690383911
all,v2,2.0,23,9,6,0.9941520467836258,0.0377777777777778,0.9630895701725328,33560,33.14823508262634
all,v3f1,0.5,30,14,6,1.0,0.0464285714285714,1.0169524778218972,26860,24.78078007698059
all,v3f1,0.8,30,14,6,1.0,0.0464285714285714,1.0169524778218972,26860,24.944448947906498
all,v3f1,1.0,30,14,6,1.0,0.0464285714285714,1.0169524778218972,26860,24.91494727134705
all,v3f1,1.2,29,14,6,0.9962406015037594,0.05,1.0197557858981383,26860,25.11434864997864
all,v3f1,1.5,29,14,6,0.9962406015037594,0.05,1.0197557858981383,26860,29.82689094543457
all,v3f1,2.0,22,9,6,0.9941520467836258,0.0377777777777778,0.961277501334495,26860,33.417141914367676
all,v3f2,0.5,267,105,9,0.9931489554422336,0.0806666666666666,0.937355354339278,94580,147.50193095207214
all,v3f2,0.8,229,85,8,0.9933787146306488,0.0811764705882353,0.9758344207856208,86740,143.30287981033325
all,v3f2,1.0,176,57,7,0.9958056186447668,0.0833333333333333,1.018220337562386,77220,128.5350480079651
all,v3f2,1.2,142,45,8,0.9972573963644744,0.0895555555555555,1.0390514262477957,67240,98.5504801273346
all,v3f2,1.5,86,23,7,0.99635268294961,0.0856521739130434,1.0777717707330965,53320,79.54844093322754
all,v3f2,2.0,46,11,6,0.9922565033272835,0.0963636363636363,1.1335221522985774,38680,50.727684020996094
all,v3f3,0.5,297,89,9,0.9909931931949758,0.0853932584269663,1.0443333625961992,61620,93.2577691078186
all,v3f3,0.8,291,85,9,0.991769898641142,0.0848235294117647,1.047583310949165,61620,100.77875208854675
all,v3f3,1.0,284,80,9,0.9915106193470298,0.08575,1.0635548642853423,61620,107.18787574768066
all,v3f3,1.2,263,71,9,0.9908516984206288,0.0866197183098591,1.0760196484392806,61620,94.15850806236269
all,v3f3,1.5,231,58,9,0.9903147912981384,0.0886206896551724,1.0852023384387592,61620,95.09234404563904
