raw_label,population,count_all_cells,percent_of_labeled_cells,percent_of_all_cells,found_modes,best_purity,min_frac_unassigned,best_mean_knn_dist,found
1.0,CD11b-_Monocyte_cells,912,1.115637271092517,0.5459639376451714,0,,,,False
2.0,CD11bhi_Monocyte_cells,6779,8.292659057824752,4.05821220756208,2,1.0,0.1899999999999999,0.8858630706085379,True
3.0,CD11bmid_Monocyte_cells,1278,1.5633601233072774,0.7650678863054046,0,,,,False
4.0,CMP_cells,253,0.30949147980965663,0.1514571011230574,0,,,,False
5.0,Erythroblast_cells,12030,14.716136371976953,7.201695361701109,14,1.0,0.0,0.3923252137585185,True
6.0,GMP_cells,73,0.08929991314665982,0.04370106079835253,0,,,,False
7.0,HSC_cells,261,0.31927777166134536,0.15624625847082205,0,,,,False
8.0,Immature_B_cells,502,0.6140898136934688,0.30051962357223244,0,,,,False
14.0,MEP_cells,194,0.2373175774034521,0.11613706568329303,0,,,,False
15.0,MPP_cells,152,0.1859395451820862,0.09099398960752855,0,,,,False
9.0,Mature_CD38lo_B_cells,7796,9.536741409470684,4.667033835396662,23,1.0,0.0,1.0438204706243293,True
10.0,Mature_CD38mid_B_cells,608,0.7437581807283448,0.3639759584301142,1,0.9125,0.1999999999999999,1.551693505991938,True
11.0,Mature_CD4+_T_cells,13964,17.081972427122707,8.359474150523216,21,1.0,0.01,0.5856801560585544,True
12.0,Mature_CD8+_T_cells,7821,9.567323571507211,4.681999952108426,18,1.0,0.0,0.7915819382658146,True
13.0,Megakaryocyte_cells,3684,4.506587397702668,2.2054069586456264,1,0.9879518072289156,0.17,0.3803195995938443,True
16.0,Myelocyte_cells,3025,3.7004416064198073,1.8109001221235124,0,,,,False
19.0,NK_cells,3864,4.726778964365665,2.313162998970331,10,1.0,0.01,0.8068893213468535,True
17.0,Naive_CD4+_T_cells,6987,8.547102645968659,4.1827302986039605,7,1.0,0.03,0.5454092266085407,True
18.0,Naive_CD8+_T_cells,9564,11.699511908693896,5.725437609252652,19,1.0,0.0,0.6578788291093729,True
20.0,Plasma_cell_cells,468,0.5724980733237917,0.28016570484423264,0,,,,False
21.0,Plasmacytoid_DC_cells,293,0.35842293906810035,0.1754028878618807,0,,,,False
22.0,Platelet_cells,5,0.006116432407305467,0.002993223342352913,0,,,,False
24.0,Pre-B_II_cells,994,1.2159467625723268,0.5950528004597591,2,1.0,0.05,1.0341152023995777,True
23.0,Pre-B_I_cells,240,0.2935887555506624,0.14367472043293983,0,,,,False
unassigned,unassigned,85297,,51.06259428653529,0,,,,False
