run_name,checkpoint,checkpoint_path,method,r_value,seed,status,all_modes,confident_modes,covered_populations,covered_population_names,mean_purity_labeled_conf,mean_unassigned_conf,mean_knn_dist_conf,nfe,elapsed_sec,modes_path,eval_path,best_path
labeled_v2_R2_seed0,labeled,checkpoints/levine13_labeled_100k.pt,v2,2.0,0,ok,20,13,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells;Pre-B_II_cells,0.9928443649373881,0.05692307692307694,1.0206742268077618,32410,54.94871187210083,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/eval_labeled_v2_R2_seed0.csv,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/best_per_population_labeled_v2_R2_seed0.csv
labeled_v2_R2_seed1,labeled,checkpoints/levine13_labeled_100k.pt,v2,2.0,1,ok,20,14,7,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9935409326010974,0.055,0.9032546895228671,32020,54.51583909988403,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed1.npy,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/eval_labeled_v2_R2_seed1.csv,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/best_per_population_labeled_v2_R2_seed1.csv
labeled_v2_R2_seed2,labeled,checkpoints/levine13_labeled_100k.pt,v2,2.0,2,ok,21,13,7,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9982208967503085,0.06384615384615386,0.9372835834158709,31950,62.373934745788574,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed2.npy,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/eval_labeled_v2_R2_seed2.csv,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/best_per_population_labeled_v2_R2_seed2.csv
labeled_v2_R2_seed3,labeled,checkpoints/levine13_labeled_100k.pt,v2,2.0,3,ok,22,14,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells;Pre-B_II_cells,0.9977742248973321,0.05071428571428573,0.9713741632964599,31440,58.26940584182739,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed3.npy,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/eval_labeled_v2_R2_seed3.csv,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/best_per_population_labeled_v2_R2_seed3.csv
labeled_v2_R2_seed4,labeled,checkpoints/levine13_labeled_100k.pt,v2,2.0,4,ok,23,14,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells;Pre-B_II_cells,0.9985347600012023,0.052857142857142866,0.9483116123169103,32350,69.12867879867554,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed4.npy,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/eval_labeled_v2_R2_seed4.csv,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/best_per_population_labeled_v2_R2_seed4.csv
