checkpoint,sliced_wasserstein_mean_mean,sliced_wasserstein_mean_std,sliced_wasserstein_q95_mean,sliced_wasserstein_q95_std,marginal_wasserstein_mean_mean,marginal_wasserstein_mean_std,mean_vector_l2_error_mean,mean_vector_l2_error_std,covariance_relative_frobenius_error_mean,covariance_relative_frobenius_error_std,linear_classifier_auc_mean,linear_classifier_auc_std,generation_elapsed_sec_mean,generation_elapsed_sec_std
all,0.03389487751754985,0.0025993783674296603,0.052671308193943334,0.0057142152543532936,0.03485841453075409,0.002285546585230345,0.07574959099292755,0.019429485625586572,0.10833766966435218,0.04876407760371339,0.5093022222222222,0.004616129691996672,0.18981369999819436,0.10056180771333709
labeled,0.03266534497338878,0.0031673743649346625,0.05267324741686992,0.007279576324166306,0.03511308878660202,0.002058891838553944,0.08521541655063629,0.012660713383183845,0.16564353181353722,0.13612571938924062,0.5134881777777778,0.012549032132665306,0.1279346999945119,0.006182982683645606
