mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
0,11.0,unknown_label_11,0.96,11.0,unknown_label_11,1.0,0.040000000000000036,0.8020419016083531,0.8307594407381849,32410,labeled,v2,2.0,0
4,12.0,unknown_label_12,0.98,12.0,unknown_label_12,1.0,0.020000000000000018,0.8694210067135095,0.8923269813828698,32410,labeled,v2,2.0,0
6,17.0,unknown_label_17,0.99,17.0,unknown_label_17,1.0,0.010000000000000009,0.7567677856240307,0.7821300688116326,32410,labeled,v2,2.0,0
3,18.0,unknown_label_18,0.98,18.0,unknown_label_18,1.0,0.020000000000000018,0.8740736264710297,0.8999430033238529,32410,labeled,v2,2.0,0
14,19.0,unknown_label_19,0.96,19.0,unknown_label_19,1.0,0.040000000000000036,0.9743563722630025,1.006825830772489,32410,labeled,v2,2.0,0
18,24.0,unknown_label_24,0.92,24.0,unknown_label_24,1.0,0.07999999999999996,1.1866191035573928,1.2276420428206896,32410,labeled,v2,2.0,0
17,5.0,unknown_label_5,1.0,5.0,unknown_label_5,1.0,0.0,0.4056379938825259,0.41920423751144464,32410,labeled,v2,2.0,0
2,9.0,unknown_label_9,0.96,9.0,unknown_label_9,1.0,0.040000000000000036,1.1226935508006828,1.154009309617344,32410,labeled,v2,2.0,0
