mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
10,11.0,unknown_label_11,0.97,11.0,unknown_label_11,1.0,0.030000000000000027,0.7919406256070407,0.8170151600487273,26860,all,v3f1,2.0,0
1,12.0,unknown_label_12,0.98,12.0,unknown_label_12,1.0,0.020000000000000018,0.819255669095824,0.8502568860108636,26860,all,v3f1,2.0,0
21,18.0,unknown_label_18,0.99,18.0,unknown_label_18,1.0,0.010000000000000009,1.0276094270779865,1.080955933746281,26860,all,v3f1,2.0,0
13,19.0,unknown_label_19,0.96,19.0,unknown_label_19,1.0,0.040000000000000036,0.8825930497669725,0.9168947456435146,26860,all,v3f1,2.0,0
6,5.0,unknown_label_5,0.9,5.0,unknown_label_5,0.9473684210526315,0.050000000000000044,0.57999439588107,0.5903323772258117,26860,all,v3f1,2.0,0
0,9.0,unknown_label_9,0.98,9.0,unknown_label_9,1.0,0.020000000000000018,1.1664233078918789,1.1866844283697708,26860,all,v3f1,2.0,0
