mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
103,10.0,unknown_label_10,0.73,10.0,unknown_label_10,0.9125,0.19999999999999996,1.551693505991938,1.6096977858226662,61820,labeled,v3f2,1.0,0
11,11.0,unknown_label_11,0.98,11.0,unknown_label_11,1.0,0.020000000000000018,0.7984920553163165,0.8228600573429765,61820,labeled,v3f2,1.0,0
92,12.0,unknown_label_12,1.0,12.0,unknown_label_12,1.0,0.0,0.8486239261445928,0.8630947649537795,61820,labeled,v3f2,1.0,0
32,13.0,unknown_label_13,0.87,13.0,unknown_label_13,1.0,0.13,0.40518127754925515,0.4269673296342601,61820,labeled,v3f2,1.0,0
34,17.0,unknown_label_17,0.99,17.0,unknown_label_17,1.0,0.010000000000000009,0.5535502644198249,0.5796340804197875,61820,labeled,v3f2,1.0,0
96,18.0,unknown_label_18,1.0,18.0,unknown_label_18,1.0,0.0,0.8749075767664172,0.9069514274813708,61820,labeled,v3f2,1.0,0
71,19.0,unknown_label_19,0.98,19.0,unknown_label_19,1.0,0.020000000000000018,0.7884943943151204,0.8248048582138481,61820,labeled,v3f2,1.0,0
76,24.0,unknown_label_24,0.95,24.0,unknown_label_24,1.0,0.050000000000000044,1.0341152023995777,1.0710933891777357,61820,labeled,v3f2,1.0,0
24,5.0,unknown_label_5,1.0,5.0,unknown_label_5,1.0,0.0,0.4820663568772243,0.5033846877230859,61820,labeled,v3f2,1.0,0
48,9.0,unknown_label_9,0.97,9.0,unknown_label_9,1.0,0.030000000000000027,1.1126030595539436,1.1438522166299183,61820,labeled,v3f2,1.0,0
