mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
53,11.0,unknown_label_11,1.0,11.0,unknown_label_11,1.0,0.0,0.8683530011889801,0.8833830049093117,94580,all,v3f2,0.5,0
222,12.0,unknown_label_12,0.99,12.0,unknown_label_12,1.0,0.010000000000000009,0.7800755518841064,0.8092667805233694,94580,all,v3f2,0.5,0
134,13.0,unknown_label_13,0.83,13.0,unknown_label_13,0.9540229885057471,0.13,0.4377704844667217,0.45080159364655026,94580,all,v3f2,0.5,0
13,17.0,unknown_label_17,1.0,17.0,unknown_label_17,1.0,0.0,0.538911590228938,0.5513561194223165,94580,all,v3f2,0.5,0
17,18.0,unknown_label_18,0.99,18.0,unknown_label_18,1.0,0.010000000000000009,1.0145720973759855,1.0484750366146303,94580,all,v3f2,0.5,0
116,19.0,unknown_label_19,0.97,19.0,unknown_label_19,1.0,0.030000000000000027,0.84402020427986,0.8697500474300658,94580,all,v3f2,0.5,0
249,2.0,unknown_label_2,0.82,2.0,unknown_label_2,1.0,0.18000000000000005,0.8425937875222452,0.8701627855310579,94580,all,v3f2,0.5,0
2,5.0,unknown_label_5,0.99,5.0,unknown_label_5,1.0,0.010000000000000009,0.42422328620598515,0.43751139183182336,94580,all,v3f2,0.5,0
110,9.0,unknown_label_9,1.0,9.0,unknown_label_9,1.0,0.0,1.0946888699376698,1.1505246848220958,94580,all,v3f2,0.5,0
