mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
6,11.0,unknown_label_11,0.96,11.0,unknown_label_11,1.0,0.040000000000000036,0.6007338262130425,0.6178388221037584,32410,labeled,v2,1.0,0
2,12.0,unknown_label_12,0.97,12.0,unknown_label_12,1.0,0.030000000000000027,0.874340338310609,0.9014788651099712,32410,labeled,v2,1.0,0
12,17.0,unknown_label_17,0.99,17.0,unknown_label_17,1.0,0.010000000000000009,0.5737685535430596,0.6009671693183039,32410,labeled,v2,1.0,0
28,18.0,unknown_label_18,0.99,18.0,unknown_label_18,1.0,0.010000000000000009,0.8968805283650486,0.9379870777409554,32410,labeled,v2,1.0,0
13,19.0,unknown_label_19,0.98,19.0,unknown_label_19,1.0,0.020000000000000018,0.9058843791970896,0.9425895538067415,32410,labeled,v2,1.0,0
18,24.0,unknown_label_24,0.92,24.0,unknown_label_24,1.0,0.07999999999999996,1.1866191035573928,1.2276420428206896,32410,labeled,v2,1.0,0
17,5.0,unknown_label_5,1.0,5.0,unknown_label_5,1.0,0.0,0.4056379938825259,0.41920423751144464,32410,labeled,v2,1.0,0
22,9.0,unknown_label_9,0.96,9.0,unknown_label_9,1.0,0.040000000000000036,1.4756765925264275,1.528369265863939,32410,labeled,v2,1.0,0
