mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
4,11.0,unknown_label_11,0.96,11.0,unknown_label_11,1.0,0.040000000000000036,1.0184937105056022,1.041446536174403,32600,labeled,v3f2,2.0,0
25,12.0,unknown_label_12,0.91,12.0,unknown_label_12,1.0,0.08999999999999997,1.1354239029990045,1.1798101068267393,32600,labeled,v3f2,2.0,0
23,18.0,unknown_label_18,1.0,18.0,unknown_label_18,1.0,0.0,0.8749075767664172,0.9069514274813708,32600,labeled,v3f2,2.0,0
20,19.0,unknown_label_19,0.98,19.0,unknown_label_19,1.0,0.020000000000000018,0.8271189297685726,0.8614972183079079,32600,labeled,v3f2,2.0,0
14,24.0,unknown_label_24,0.93,24.0,unknown_label_24,0.9893617021276596,0.06000000000000005,1.031129226990285,1.0721362175955145,32600,labeled,v3f2,2.0,0
19,5.0,unknown_label_5,0.95,5.0,unknown_label_5,1.0,0.050000000000000044,0.6028776491462867,0.6317055456364614,32600,labeled,v3f2,2.0,0
11,9.0,unknown_label_9,0.98,9.0,unknown_label_9,1.0,0.020000000000000018,1.1902674107566056,1.2308812566580731,32600,labeled,v3f2,2.0,0
