mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
4,11.0,unknown_label_11,0.99,11.0,unknown_label_11,1.0,0.010000000000000009,0.7891838670729178,0.8090588444640291,61620,all,v3f3,1.5,0
66,12.0,unknown_label_12,0.98,12.0,unknown_label_12,1.0,0.020000000000000018,0.9133570364891045,0.9499519331410877,61620,all,v3f3,1.5,0
140,13.0,unknown_label_13,0.82,13.0,unknown_label_13,0.9111111111111111,0.09999999999999998,0.7043242085145477,0.743643922707176,61620,all,v3f3,1.5,0
34,17.0,unknown_label_17,0.98,17.0,unknown_label_17,1.0,0.020000000000000018,0.5465143014666257,0.5592885524795779,61620,all,v3f3,1.5,0
94,18.0,unknown_label_18,0.98,18.0,unknown_label_18,1.0,0.020000000000000018,0.8883560172559716,0.9288384626022089,61620,all,v3f3,1.5,0
213,19.0,unknown_label_19,0.88,19.0,unknown_label_19,1.0,0.12,0.9701073246832965,1.0127489716285063,61620,all,v3f3,1.5,0
62,2.0,unknown_label_2,0.85,2.0,unknown_label_2,1.0,0.15000000000000002,1.014422814661992,1.046990909471047,61620,all,v3f3,1.5,0
15,5.0,unknown_label_5,1.0,5.0,unknown_label_5,1.0,0.0,0.5404924431374636,0.5618245753801567,61620,all,v3f3,1.5,0
28,9.0,unknown_label_9,0.97,9.0,unknown_label_9,1.0,0.030000000000000027,1.1741364494106636,1.210307473702796,61620,all,v3f3,1.5,0
