mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
131,10.0,unknown_label_10,0.73,10.0,unknown_label_10,0.9125,0.19999999999999996,1.551693505991938,1.6096977858226662,87160,labeled,v3f2,0.5,0
2,11.0,unknown_label_11,0.98,11.0,unknown_label_11,1.0,0.020000000000000018,0.5709302573879049,0.5880450271875273,87160,labeled,v3f2,0.5,0
183,12.0,unknown_label_12,1.0,12.0,unknown_label_12,1.0,0.0,0.8486239261445928,0.8630947649537795,87160,labeled,v3f2,0.5,0
7,13.0,unknown_label_13,0.82,13.0,unknown_label_13,0.9879518072289156,0.17000000000000004,0.3795013102552984,0.39075023479613075,87160,labeled,v3f2,0.5,0
185,17.0,unknown_label_17,0.99,17.0,unknown_label_17,1.0,0.010000000000000009,0.5504930444500656,0.5811206324631992,87160,labeled,v3f2,0.5,0
23,18.0,unknown_label_18,1.0,18.0,unknown_label_18,1.0,0.0,0.8464635293070897,0.879445924787101,87160,labeled,v3f2,0.5,0
36,19.0,unknown_label_19,0.99,19.0,unknown_label_19,1.0,0.010000000000000009,0.9208618919561132,0.9709035542232485,87160,labeled,v3f2,0.5,0
195,2.0,unknown_label_2,0.81,2.0,unknown_label_2,1.0,0.18999999999999995,0.9759391840317632,1.0160995893573934,87160,labeled,v3f2,0.5,0
24,24.0,unknown_label_24,0.95,24.0,unknown_label_24,1.0,0.050000000000000044,1.0341152023995777,1.0710933891777357,87160,labeled,v3f2,0.5,0
217,5.0,unknown_label_5,1.0,5.0,unknown_label_5,1.0,0.0,0.4104827734430211,0.4273778451936471,87160,labeled,v3f2,0.5,0
127,9.0,unknown_label_9,1.0,9.0,unknown_label_9,1.0,0.0,1.0878132308568949,1.114196543207421,87160,labeled,v3f2,0.5,0
