mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
16,11.0,unknown_label_11,0.9,11.0,unknown_label_11,1.0,0.09999999999999998,0.9590211718219915,0.9873233881668344,38680,all,v3f2,2.0,0
26,12.0,unknown_label_12,0.99,12.0,unknown_label_12,1.0,0.010000000000000009,0.9840249286938801,1.0063494636415635,38680,all,v3f2,2.0,0
22,18.0,unknown_label_18,0.8,18.0,unknown_label_18,1.0,0.19999999999999996,1.4103584918247158,1.430256870913047,38680,all,v3f2,2.0,0
11,19.0,unknown_label_19,0.97,19.0,unknown_label_19,1.0,0.030000000000000027,0.8561932922268796,0.8713661036909925,38680,all,v3f2,2.0,0
8,24.0,unknown_label_24,0.88,24.0,unknown_label_24,0.9263157894736842,0.050000000000000044,0.9904419423835225,1.0372006120666968,38680,all,v3f2,2.0,0
32,9.0,unknown_label_9,0.94,9.0,unknown_label_9,1.0,0.06000000000000005,1.2481959927675148,1.302458090144164,38680,all,v3f2,2.0,0
