run_name,checkpoint,checkpoint_path,method,r_value,seed,status,all_modes,confident_modes,covered_populations,covered_population_names,mean_purity_labeled_conf,mean_unassigned_conf,mean_knn_dist_conf,nfe,elapsed_sec,modes_path,eval_path,best_path
all_v3f2_R0.5_seed0,all,checkpoints/levine13_all_100k.pt,v3f2,0.5,0,ok,267,105,9,unknown_label_11;unknown_label_12;unknown_label_13;unknown_label_17;unknown_label_18;unknown_label_19;unknown_label_2;unknown_label_5;unknown_label_9,0.9931489554422337,0.08066666666666668,0.9373553543392781,94580,147.50193095207214,results_levine13/full_sweep/modes_all_v3f2_R0.5_seed0.npy,results_levine13/full_sweep/eval_all_v3f2_R0.5_seed0.csv,results_levine13/full_sweep/best_per_population_all_v3f2_R0.5_seed0.csv
all_v3f2_R0.8_seed0,all,checkpoints/levine13_all_100k.pt,v3f2,0.8,0,ok,229,85,8,unknown_label_11;unknown_label_12;unknown_label_17;unknown_label_18;unknown_label_19;unknown_label_2;unknown_label_5;unknown_label_9,0.9933787146306489,0.08117647058823531,0.9758344207856208,86740,143.30287981033325,results_levine13/full_sweep/modes_all_v3f2_R0.8_seed0.npy,results_levine13/full_sweep/eval_all_v3f2_R0.8_seed0.csv,results_levine13/full_sweep/best_per_population_all_v3f2_R0.8_seed0.csv
all_v3f2_R1_seed0,all,checkpoints/levine13_all_100k.pt,v3f2,1.0,0,ok,176,57,7,unknown_label_11;unknown_label_12;unknown_label_17;unknown_label_18;unknown_label_19;unknown_label_5;unknown_label_9,0.9958056186447667,0.08333333333333333,1.018220337562386,77220,128.5350480079651,results_levine13/full_sweep/modes_all_v3f2_R1_seed0.npy,results_levine13/full_sweep/eval_all_v3f2_R1_seed0.csv,results_levine13/full_sweep/best_per_population_all_v3f2_R1_seed0.csv
all_v3f2_R1.2_seed0,all,checkpoints/levine13_all_100k.pt,v3f2,1.2,0,ok,142,45,8,unknown_label_11;unknown_label_12;unknown_label_17;unknown_label_18;unknown_label_19;unknown_label_2;unknown_label_5;unknown_label_9,0.9972573963644745,0.08955555555555558,1.0390514262477957,67240,98.5504801273346,results_levine13/full_sweep/modes_all_v3f2_R1.2_seed0.npy,results_levine13/full_sweep/eval_all_v3f2_R1.2_seed0.csv,results_levine13/full_sweep/best_per_population_all_v3f2_R1.2_seed0.csv
all_v3f2_R1.5_seed0,all,checkpoints/levine13_all_100k.pt,v3f2,1.5,0,ok,86,23,7,unknown_label_11;unknown_label_12;unknown_label_18;unknown_label_19;unknown_label_24;unknown_label_5;unknown_label_9,0.99635268294961,0.08565217391304349,1.0777717707330965,53320,79.54844093322754,results_levine13/full_sweep/modes_all_v3f2_R1.5_seed0.npy,results_levine13/full_sweep/eval_all_v3f2_R1.5_seed0.csv,results_levine13/full_sweep/best_per_population_all_v3f2_R1.5_seed0.csv
all_v3f2_R2_seed0,all,checkpoints/levine13_all_100k.pt,v3f2,2.0,0,ok,46,11,6,unknown_label_11;unknown_label_12;unknown_label_18;unknown_label_19;unknown_label_24;unknown_label_9,0.9922565033272837,0.09636363636363637,1.1335221522985774,38680,50.727684020996094,results_levine13/full_sweep/modes_all_v3f2_R2_seed0.npy,results_levine13/full_sweep/eval_all_v3f2_R2_seed0.csv,results_levine13/full_sweep/best_per_population_all_v3f2_R2_seed0.csv
all_v3f3_R0.5_seed0,all,checkpoints/levine13_all_100k.pt,v3f3,0.5,0,ok,297,89,9,unknown_label_11;unknown_label_12;unknown_label_13;unknown_label_17;unknown_label_18;unknown_label_19;unknown_label_2;unknown_label_5;unknown_label_9,0.9909931931949758,0.0853932584269663,1.0443333625961992,61620,93.2577691078186,results_levine13/full_sweep/modes_all_v3f3_R0.5_seed0.npy,results_levine13/full_sweep/eval_all_v3f3_R0.5_seed0.csv,results_levine13/full_sweep/best_per_population_all_v3f3_R0.5_seed0.csv
all_v3f3_R0.8_seed0,all,checkpoints/levine13_all_100k.pt,v3f3,0.8,0,ok,291,85,9,unknown_label_11;unknown_label_12;unknown_label_13;unknown_label_17;unknown_label_18;unknown_label_19;unknown_label_2;unknown_label_5;unknown_label_9,0.991769898641142,0.0848235294117647,1.047583310949165,61620,100.77875208854675,results_levine13/full_sweep/modes_all_v3f3_R0.8_seed0.npy,results_levine13/full_sweep/eval_all_v3f3_R0.8_seed0.csv,results_levine13/full_sweep/best_per_population_all_v3f3_R0.8_seed0.csv
all_v3f3_R1_seed0,all,checkpoints/levine13_all_100k.pt,v3f3,1.0,0,ok,284,80,9,unknown_label_11;unknown_label_12;unknown_label_13;unknown_label_17;unknown_label_18;unknown_label_19;unknown_label_2;unknown_label_5;unknown_label_9,0.9915106193470298,0.08575,1.0635548642853423,61620,107.18787574768066,results_levine13/full_sweep/modes_all_v3f3_R1_seed0.npy,results_levine13/full_sweep/eval_all_v3f3_R1_seed0.csv,results_levine13/full_sweep/best_per_population_all_v3f3_R1_seed0.csv
all_v3f3_R1.2_seed0,all,checkpoints/levine13_all_100k.pt,v3f3,1.2,0,ok,263,71,9,unknown_label_11;unknown_label_12;unknown_label_13;unknown_label_17;unknown_label_18;unknown_label_19;unknown_label_2;unknown_label_5;unknown_label_9,0.9908516984206287,0.08661971830985914,1.0760196484392806,61620,94.15850806236267,results_levine13/full_sweep/modes_all_v3f3_R1.2_seed0.npy,results_levine13/full_sweep/eval_all_v3f3_R1.2_seed0.csv,results_levine13/full_sweep/best_per_population_all_v3f3_R1.2_seed0.csv
