mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
115,10.0,unknown_label_10,0.73,10.0,unknown_label_10,0.9125,0.19999999999999996,1.551693505991938,1.6096977858226662,73380,labeled,v3f2,0.8,0
118,11.0,unknown_label_11,0.99,11.0,unknown_label_11,1.0,0.010000000000000009,0.7005392341431762,0.718026017881908,73380,labeled,v3f2,0.8,0
26,12.0,unknown_label_12,1.0,12.0,unknown_label_12,1.0,0.0,0.8486239261445928,0.8630947649537795,73380,labeled,v3f2,0.8,0
28,13.0,unknown_label_13,0.82,13.0,unknown_label_13,0.9879518072289156,0.17000000000000004,0.3803195995938443,0.39029980403549913,73380,labeled,v3f2,0.8,0
126,17.0,unknown_label_17,0.97,17.0,unknown_label_17,1.0,0.030000000000000027,0.5454092266085407,0.5569779716657131,73380,labeled,v3f2,0.8,0
140,18.0,unknown_label_18,1.0,18.0,unknown_label_18,1.0,0.0,0.8464635293070897,0.879445924787101,73380,labeled,v3f2,0.8,0
7,19.0,unknown_label_19,0.99,19.0,unknown_label_19,1.0,0.010000000000000009,0.9208618919561132,0.9709035542232485,73380,labeled,v3f2,0.8,0
4,2.0,unknown_label_2,0.81,2.0,unknown_label_2,1.0,0.18999999999999995,0.9759391840317632,1.0160995893573934,73380,labeled,v3f2,0.8,0
88,24.0,unknown_label_24,0.95,24.0,unknown_label_24,1.0,0.050000000000000044,1.0341152023995777,1.0710933891777357,73380,labeled,v3f2,0.8,0
148,5.0,unknown_label_5,1.0,5.0,unknown_label_5,1.0,0.0,0.3923252137585185,0.3976245588854682,73380,labeled,v3f2,0.8,0
60,9.0,unknown_label_9,1.0,9.0,unknown_label_9,1.0,0.0,1.0878132308568949,1.114196543207421,73380,labeled,v3f2,0.8,0
