mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
0,11.0,unknown_label_11,0.97,11.0,unknown_label_11,1.0,0.030000000000000027,0.7989281267030391,0.826487667590009,26640,labeled,v3f1,2.0,0
4,12.0,unknown_label_12,0.98,12.0,unknown_label_12,1.0,0.020000000000000018,0.8682061229488204,0.8899805089618449,26640,labeled,v3f1,2.0,0
6,17.0,unknown_label_17,0.99,17.0,unknown_label_17,1.0,0.010000000000000009,0.7502061549212921,0.775888569421127,26640,labeled,v3f1,2.0,0
3,18.0,unknown_label_18,0.98,18.0,unknown_label_18,1.0,0.020000000000000018,0.8756568306290304,0.9056266733983751,26640,labeled,v3f1,2.0,0
14,19.0,unknown_label_19,0.96,19.0,unknown_label_19,1.0,0.040000000000000036,0.9767658747364664,0.9961721113174891,26640,labeled,v3f1,2.0,0
18,24.0,unknown_label_24,0.91,24.0,unknown_label_24,1.0,0.08999999999999997,1.1860359099022704,1.2311683948295165,26640,labeled,v3f1,2.0,0
17,5.0,unknown_label_5,1.0,5.0,unknown_label_5,1.0,0.0,0.4055437997962471,0.41862791058869436,26640,labeled,v3f1,2.0,0
2,9.0,unknown_label_9,0.96,9.0,unknown_label_9,1.0,0.040000000000000036,1.1230526888695873,1.1536240537706237,26640,labeled,v3f1,2.0,0
