mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
44,10.0,unknown_label_10,0.73,10.0,unknown_label_10,0.9125,0.19999999999999996,1.551693505991938,1.6096977858226662,52900,labeled,v3f2,1.2,0
10,11.0,unknown_label_11,0.97,11.0,unknown_label_11,1.0,0.030000000000000027,0.6282172538556022,0.6474503529878721,52900,labeled,v3f2,1.2,0
85,12.0,unknown_label_12,0.97,12.0,unknown_label_12,1.0,0.030000000000000027,0.9277330428775399,0.952273765223544,52900,labeled,v3f2,1.2,0
26,13.0,unknown_label_13,0.86,13.0,unknown_label_13,1.0,0.14,0.4061954160514404,0.4234450241748865,52900,labeled,v3f2,1.2,0
78,17.0,unknown_label_17,0.98,17.0,unknown_label_17,1.0,0.020000000000000018,0.6563521921306114,0.6821585667913017,52900,labeled,v3f2,1.2,0
68,18.0,unknown_label_18,1.0,18.0,unknown_label_18,1.0,0.0,0.8749075767664172,0.9069514274813708,52900,labeled,v3f2,1.2,0
2,19.0,unknown_label_19,0.97,19.0,unknown_label_19,1.0,0.030000000000000027,0.8816888884989441,0.8962812300769325,52900,labeled,v3f2,1.2,0
49,24.0,unknown_label_24,0.95,24.0,unknown_label_24,1.0,0.050000000000000044,1.0341152023995777,1.0710933891777357,52900,labeled,v3f2,1.2,0
90,5.0,unknown_label_5,0.93,5.0,unknown_label_5,1.0,0.06999999999999995,0.6779291974906316,0.6928508958739392,52900,labeled,v3f2,1.2,0
66,9.0,unknown_label_9,1.0,9.0,unknown_label_9,1.0,0.0,1.0036604560774967,1.0425238601747213,52900,labeled,v3f2,1.2,0
