mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
10,11.0,unknown_label_11,0.97,11.0,unknown_label_11,1.0,0.030000000000000027,0.7956081139340785,0.8202681697208232,33560,all,v2,2.0,0
1,12.0,unknown_label_12,0.98,12.0,unknown_label_12,1.0,0.020000000000000018,0.818291487826069,0.8509298361655822,33560,all,v2,2.0,0
22,18.0,unknown_label_18,0.99,18.0,unknown_label_18,1.0,0.010000000000000009,1.0278837969892702,1.0799720460812816,33560,all,v2,2.0,0
13,19.0,unknown_label_19,0.96,19.0,unknown_label_19,1.0,0.040000000000000036,0.8805886706114597,0.9164003471982081,33560,all,v2,2.0,0
6,5.0,unknown_label_5,0.9,5.0,unknown_label_5,0.9473684210526315,0.050000000000000044,0.5797934754373929,0.5952387433658274,33560,all,v2,2.0,0
0,9.0,unknown_label_9,0.98,9.0,unknown_label_9,1.0,0.020000000000000018,1.169089058672172,1.1973604795828745,33560,all,v2,2.0,0
