mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
34,11.0,unknown_label_11,0.95,11.0,unknown_label_11,1.0,0.050000000000000044,1.0148785905937074,1.0631487886559046,53320,all,v3f2,1.5,0
79,12.0,unknown_label_12,0.99,12.0,unknown_label_12,1.0,0.010000000000000009,0.9840249286938801,1.0063494636415635,53320,all,v3f2,1.5,0
66,18.0,unknown_label_18,0.97,18.0,unknown_label_18,1.0,0.030000000000000027,0.7909643096788481,0.8156536820305202,53320,all,v3f2,1.5,0
0,19.0,unknown_label_19,0.88,19.0,unknown_label_19,1.0,0.12,0.9782183433118157,0.9962312611561451,53320,all,v3f2,1.5,0
84,24.0,unknown_label_24,0.88,24.0,unknown_label_24,0.9263157894736842,0.050000000000000044,0.9860112169437695,1.0333402901078548,53320,all,v3f2,1.5,0
75,5.0,unknown_label_5,0.97,5.0,unknown_label_5,0.9897959183673469,0.020000000000000018,0.5492903763125401,0.5599547554034727,53320,all,v3f2,1.5,0
60,9.0,unknown_label_9,0.99,9.0,unknown_label_9,1.0,0.010000000000000009,1.0723836171839858,1.1088204547957217,53320,all,v3f2,1.5,0
