mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
3,11.0,unknown_label_11,0.95,11.0,unknown_label_11,1.0,0.050000000000000044,0.6563256479789008,0.6795843602901646,77220,all,v3f2,1.0,0
77,12.0,unknown_label_12,0.99,12.0,unknown_label_12,1.0,0.010000000000000009,0.9840249286938801,1.0063494636415635,77220,all,v3f2,1.0,0
119,17.0,unknown_label_17,1.0,17.0,unknown_label_17,1.0,0.0,0.538283552453566,0.5595331723173972,77220,all,v3f2,1.0,0
79,18.0,unknown_label_18,0.99,18.0,unknown_label_18,1.0,0.010000000000000009,1.0145720973759855,1.0484750366146303,77220,all,v3f2,1.0,0
166,19.0,unknown_label_19,0.96,19.0,unknown_label_19,1.0,0.040000000000000036,0.8771492060026227,0.9101907212259599,77220,all,v3f2,1.0,0
169,5.0,unknown_label_5,0.98,5.0,unknown_label_5,1.0,0.020000000000000018,0.5602217933301233,0.5819541851171195,77220,all,v3f2,1.0,0
38,9.0,unknown_label_9,0.99,9.0,unknown_label_9,1.0,0.010000000000000009,1.0854334959028813,1.1330606933111258,77220,all,v3f2,1.0,0
