mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
12,11.0,unknown_label_11,0.98,11.0,unknown_label_11,1.0,0.020000000000000018,0.9943157107251834,1.0001174600129183,61620,labeled,v3f3,1.5,0
195,12.0,unknown_label_12,0.98,12.0,unknown_label_12,1.0,0.020000000000000018,1.0600184675101598,1.0970894524477022,61620,labeled,v3f3,1.5,0
161,13.0,unknown_label_13,0.9,13.0,unknown_label_13,0.967741935483871,0.06999999999999995,0.6962792769851169,0.725586782768308,61620,labeled,v3f3,1.5,0
40,17.0,unknown_label_17,0.97,17.0,unknown_label_17,1.0,0.030000000000000027,0.6378801637387955,0.6570917489879431,61620,labeled,v3f3,1.5,0
184,18.0,unknown_label_18,1.0,18.0,unknown_label_18,1.0,0.0,0.9457567543200882,0.9706321014363788,61620,labeled,v3f3,1.5,0
30,19.0,unknown_label_19,0.91,19.0,unknown_label_19,1.0,0.08999999999999997,1.0658276260622523,1.1078899891728995,61620,labeled,v3f3,1.5,0
20,2.0,unknown_label_2,0.8,2.0,unknown_label_2,1.0,0.19999999999999996,1.0620538244280777,1.0966056312676677,61620,labeled,v3f3,1.5,0
185,24.0,unknown_label_24,0.95,24.0,unknown_label_24,1.0,0.050000000000000044,1.085418535134828,1.1174545458714675,61620,labeled,v3f3,1.5,0
63,5.0,unknown_label_5,0.99,5.0,unknown_label_5,1.0,0.010000000000000009,0.4811795662377509,0.5018860464724526,61620,labeled,v3f3,1.5,0
13,9.0,unknown_label_9,0.97,9.0,unknown_label_9,1.0,0.030000000000000027,1.1187859463655192,1.1509007803793283,61620,labeled,v3f3,1.5,0
