mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
76,11.0,unknown_label_11,0.96,11.0,unknown_label_11,1.0,0.040000000000000036,0.6503976994772835,0.6721277333545579,67240,all,v3f2,1.2,0
22,12.0,unknown_label_12,1.0,12.0,unknown_label_12,1.0,0.0,0.806796943089431,0.8336051452879001,67240,all,v3f2,1.2,0
56,17.0,unknown_label_17,0.97,17.0,unknown_label_17,1.0,0.030000000000000027,0.6382509124189127,0.6636691679418621,67240,all,v3f2,1.2,0
138,18.0,unknown_label_18,1.0,18.0,unknown_label_18,1.0,0.0,0.9493544150820421,0.974041475791535,67240,all,v3f2,1.2,0
123,19.0,unknown_label_19,0.96,19.0,unknown_label_19,1.0,0.040000000000000036,0.9014590279974398,0.9329382168492374,67240,all,v3f2,1.2,0
137,2.0,unknown_label_2,0.8,2.0,unknown_label_2,1.0,0.19999999999999996,0.8938078678768087,0.9291383921896861,67240,all,v3f2,1.2,0
41,5.0,unknown_label_5,1.0,5.0,unknown_label_5,1.0,0.0,0.4453661157803576,0.45369659765698195,67240,all,v3f2,1.2,0
58,9.0,unknown_label_9,0.99,9.0,unknown_label_9,1.0,0.010000000000000009,1.0854334959028813,1.1330606933111258,67240,all,v3f2,1.2,0
