mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
170,11.0,unknown_label_11,1.0,11.0,unknown_label_11,1.0,0.0,0.8683530011889801,0.8833830049093117,86740,all,v3f2,0.8,0
204,12.0,unknown_label_12,0.99,12.0,unknown_label_12,1.0,0.010000000000000009,0.7800755518841064,0.8092667805233694,86740,all,v3f2,0.8,0
205,17.0,unknown_label_17,1.0,17.0,unknown_label_17,1.0,0.0,0.5397106431293536,0.566056233005571,86740,all,v3f2,0.8,0
45,18.0,unknown_label_18,0.99,18.0,unknown_label_18,1.0,0.010000000000000009,1.0145720973759855,1.0484750366146303,86740,all,v3f2,0.8,0
111,19.0,unknown_label_19,0.97,19.0,unknown_label_19,1.0,0.030000000000000027,0.84402020427986,0.8697500474300658,86740,all,v3f2,0.8,0
215,2.0,unknown_label_2,0.81,2.0,unknown_label_2,1.0,0.18999999999999995,0.9404655917948709,0.9615367501049287,86740,all,v3f2,0.8,0
200,5.0,unknown_label_5,1.0,5.0,unknown_label_5,1.0,0.0,0.40980380517930093,0.41704937172478523,86740,all,v3f2,0.8,0
206,9.0,unknown_label_9,1.0,9.0,unknown_label_9,1.0,0.0,1.0946888699376698,1.1505246848220958,86740,all,v3f2,0.8,0
