mode_id,nearest_label_all,nearest_label_all_name,purity_all,nearest_label_labeled_only,nearest_label_labeled_only_name,purity_labeled_only,frac_unassigned_neighbors,mean_knn_dist,median_knn_dist,nfe,checkpoint,method,r_value,seed
1,11.0,unknown_label_11,0.94,11.0,unknown_label_11,1.0,0.06000000000000005,0.6985834418192084,0.7129110662496511,61620,all,v3f3,2.0,0
66,12.0,unknown_label_12,0.98,12.0,unknown_label_12,1.0,0.020000000000000018,0.9133570364891045,0.9499519331410877,61620,all,v3f3,2.0,0
7,13.0,unknown_label_13,0.8,13.0,unknown_label_13,0.9090909090909091,0.12,1.0142856525438388,1.0257412657630018,61620,all,v3f3,2.0,0
30,17.0,unknown_label_17,1.0,17.0,unknown_label_17,1.0,0.0,0.6122212929374519,0.6351419093314301,61620,all,v3f3,2.0,0
70,18.0,unknown_label_18,0.98,18.0,unknown_label_18,1.0,0.020000000000000018,1.0439855764207477,1.055877316554042,61620,all,v3f3,2.0,0
37,19.0,unknown_label_19,0.87,19.0,unknown_label_19,1.0,0.13,1.1130502621323612,1.1474582220602176,61620,all,v3f3,2.0,0
34,2.0,unknown_label_2,0.86,2.0,unknown_label_2,1.0,0.14,1.0597900422091506,1.0802051870313982,61620,all,v3f3,2.0,0
59,5.0,unknown_label_5,0.97,5.0,unknown_label_5,1.0,0.030000000000000027,0.9585419881911845,0.9985175893950272,61620,all,v3f3,2.0,0
32,9.0,unknown_label_9,0.96,9.0,unknown_label_9,1.0,0.040000000000000036,1.124562204394496,1.1747332235451597,61620,all,v3f3,2.0,0
