run_name,checkpoint,method,r_value,seed,n_samples,reference_cells,k_mean_shift,iterations,final_max_shift,raw_modes,nfe,elapsed_sec,modes_path
labeled_data_mean_shift_k25_n1000_R0.8_seed0,labeled,data_mean_shift,0.8,0,1000,81747,25,37,2.308478030954575e-07,273,0,1.3143442500149831,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k25/modes_labeled_data_mean_shift_k25_n1000_R0.8_seed0.npy
labeled_data_mean_shift_k25_n1000_R1.5_seed0,labeled,data_mean_shift,1.5,0,1000,81747,25,37,2.308478030954575e-07,100,0,1.3143442500149831,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k25/modes_labeled_data_mean_shift_k25_n1000_R1.5_seed0.npy
labeled_data_mean_shift_k25_n1000_R2_seed0,labeled,data_mean_shift,2.0,0,1000,81747,25,37,2.308478030954575e-07,55,0,1.3143442500149831,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k25/modes_labeled_data_mean_shift_k25_n1000_R2_seed0.npy
labeled_data_mean_shift_k25_n1000_R0.8_seed1,labeled,data_mean_shift,0.8,1,1000,81747,25,38,3.31864612235222e-07,263,0,1.5682285829971079,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k25/modes_labeled_data_mean_shift_k25_n1000_R0.8_seed1.npy
labeled_data_mean_shift_k25_n1000_R1.5_seed1,labeled,data_mean_shift,1.5,1,1000,81747,25,38,3.31864612235222e-07,103,0,1.5682285829971079,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k25/modes_labeled_data_mean_shift_k25_n1000_R1.5_seed1.npy
labeled_data_mean_shift_k25_n1000_R2_seed1,labeled,data_mean_shift,2.0,1,1000,81747,25,38,3.31864612235222e-07,56,0,1.5682285829971079,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k25/modes_labeled_data_mean_shift_k25_n1000_R2_seed1.npy
labeled_data_mean_shift_k25_n1000_R0.8_seed2,labeled,data_mean_shift,0.8,2,1000,81747,25,32,2.308478030954575e-07,262,0,1.200446250004461,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k25/modes_labeled_data_mean_shift_k25_n1000_R0.8_seed2.npy
labeled_data_mean_shift_k25_n1000_R1.5_seed2,labeled,data_mean_shift,1.5,2,1000,81747,25,32,2.308478030954575e-07,104,0,1.200446250004461,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k25/modes_labeled_data_mean_shift_k25_n1000_R1.5_seed2.npy
labeled_data_mean_shift_k25_n1000_R2_seed2,labeled,data_mean_shift,2.0,2,1000,81747,25,32,2.308478030954575e-07,54,0,1.200446250004461,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k25/modes_labeled_data_mean_shift_k25_n1000_R2_seed2.npy
labeled_data_mean_shift_k25_n1000_R0.8_seed3,labeled,data_mean_shift,0.8,3,1000,81747,25,38,2.308478030954575e-07,262,0,1.517321792023722,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k25/modes_labeled_data_mean_shift_k25_n1000_R0.8_seed3.npy
labeled_data_mean_shift_k25_n1000_R1.5_seed3,labeled,data_mean_shift,1.5,3,1000,81747,25,38,2.308478030954575e-07,101,0,1.517321792023722,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k25/modes_labeled_data_mean_shift_k25_n1000_R1.5_seed3.npy
