run_name,checkpoint,method,r_value,seed,n_samples,reference_cells,k_mean_shift,iterations,final_max_shift,raw_modes,nfe,elapsed_sec,modes_path
labeled_data_mean_shift_k100_n1000_R0.8_seed0,labeled,data_mean_shift,0.8,0,1000,81747,100,93,2.4755667027420714e-07,38,0,8.883021125016967,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R0.8_seed0.npy
labeled_data_mean_shift_k100_n1000_R1.5_seed0,labeled,data_mean_shift,1.5,0,1000,81747,100,93,2.4755667027420714e-07,21,0,8.883021125016967,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R1.5_seed0.npy
labeled_data_mean_shift_k100_n1000_R2_seed0,labeled,data_mean_shift,2.0,0,1000,81747,100,93,2.4755667027420714e-07,17,0,8.883021125016967,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R2_seed0.npy
labeled_data_mean_shift_k100_n1000_R0.8_seed1,labeled,data_mean_shift,0.8,1,1000,81747,100,91,2.4755667027420714e-07,37,0,7.093275999999605,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R0.8_seed1.npy
labeled_data_mean_shift_k100_n1000_R1.5_seed1,labeled,data_mean_shift,1.5,1,1000,81747,100,91,2.4755667027420714e-07,21,0,7.093275999999605,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R1.5_seed1.npy
labeled_data_mean_shift_k100_n1000_R2_seed1,labeled,data_mean_shift,2.0,1,1000,81747,100,91,2.4755667027420714e-07,17,0,7.093275999999605,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R2_seed1.npy
labeled_data_mean_shift_k100_n1000_R0.8_seed2,labeled,data_mean_shift,0.8,2,1000,81747,100,94,2.4755667027420714e-07,36,0,6.55688333400758,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R0.8_seed2.npy
labeled_data_mean_shift_k100_n1000_R1.5_seed2,labeled,data_mean_shift,1.5,2,1000,81747,100,94,2.4755667027420714e-07,21,0,6.55688333400758,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R1.5_seed2.npy
labeled_data_mean_shift_k100_n1000_R2_seed2,labeled,data_mean_shift,2.0,2,1000,81747,100,94,2.4755667027420714e-07,18,0,6.55688333400758,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R2_seed2.npy
labeled_data_mean_shift_k100_n1000_R0.8_seed3,labeled,data_mean_shift,0.8,3,1000,81747,100,93,2.4755667027420714e-07,38,0,6.108418374991743,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R0.8_seed3.npy
labeled_data_mean_shift_k100_n1000_R1.5_seed3,labeled,data_mean_shift,1.5,3,1000,81747,100,93,2.4755667027420714e-07,21,0,6.108418374991743,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R1.5_seed3.npy
labeled_data_mean_shift_k100_n1000_R2_seed3,labeled,data_mean_shift,2.0,3,1000,81747,100,93,2.4755667027420714e-07,17,0,6.108418374991743,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R2_seed3.npy
labeled_data_mean_shift_k100_n1000_R0.8_seed4,labeled,data_mean_shift,0.8,4,1000,81747,100,92,2.4755667027420714e-07,36,0,6.327131958008977,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R0.8_seed4.npy
labeled_data_mean_shift_k100_n1000_R1.5_seed4,labeled,data_mean_shift,1.5,4,1000,81747,100,92,2.4755667027420714e-07,23,0,6.327131958008977,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R1.5_seed4.npy
labeled_data_mean_shift_k100_n1000_R2_seed4,labeled,data_mean_shift,2.0,4,1000,81747,100,92,2.4755667027420714e-07,17,0,6.327131958008977,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_labeled_data_mean_shift_k100_n1000_R2_seed4.npy
all_data_mean_shift_k100_n1000_R0.8_seed0,all,data_mean_shift,0.8,0,1000,167044,100,73,1.7377590211253846e-07,73,0,8.832886958989548,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_all_data_mean_shift_k100_n1000_R0.8_seed0.npy
all_data_mean_shift_k100_n1000_R1.5_seed0,all,data_mean_shift,1.5,0,1000,167044,100,73,1.7377590211253846e-07,40,0,8.832886958989548,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_all_data_mean_shift_k100_n1000_R1.5_seed0.npy
all_data_mean_shift_k100_n1000_R2_seed0,all,data_mean_shift,2.0,0,1000,167044,100,73,1.7377590211253846e-07,29,0,8.832886958989548,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_all_data_mean_shift_k100_n1000_R2_seed0.npy
all_data_mean_shift_k100_n1000_R0.8_seed1,all,data_mean_shift,0.8,1,1000,167044,100,80,2.308478030954575e-07,67,0,14.015273541997885,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k100/modes_all_data_mean_shift_k100_n1000_R0.8_seed1.npy
