method,K,dseed,init_seed,eps,recall,precision,f1,soft_error,n_found,n_hits,n_correct,nfe
b10,2,1,0,1.0,1.0,0.03627760252365931,0.07001522070015222,0.770105455798884,1268,2,46,2020000
b10,2,1,0,1.5,1.0,0.3801261829652997,0.5508571428571428,0.770105455798884,1268,2,482,2020000
b10,2,1,0,2.0,1.0,0.694794952681388,0.81991624011168,0.770105455798884,1268,2,881,2020000
b10,2,1,0,2.5,1.0,0.8493690851735016,0.9185501066098082,0.770105455798884,1268,2,1077,2020000
b10,2,1,0,3.0,1.0,0.9479495268138801,0.9732793522267207,0.770105455798884,1268,2,1202,2020000
v3f2,2,1,1,1.0,0.5,0.5,0.5,1.2507068939907031,2,1,1,16980
v3f2,2,1,1,1.5,0.5,0.5,0.5,1.2507068939907031,2,1,1,16980
v3f2,2,1,1,2.0,1.0,1.0,1.0,1.2507068939907031,2,2,2,16980
v3f2,2,1,1,2.5,1.0,1.0,1.0,1.2507068939907031,2,2,2,16980
v3f2,2,1,1,3.0,1.0,1.0,1.0,1.2507068939907031,2,2,2,16980
b0,2,1,1,1.0,1.0,0.0016042780748663102,0.003203416978109984,0.7564342394456874,1870,2,3,2000000
b0,2,1,1,1.5,1.0,0.053475935828877004,0.10152284263959391,0.7564342394456874,1870,2,100,2000000
b0,2,1,1,2.0,1.0,0.2871657754010695,0.44619858745326135,0.7564342394456874,1870,2,537,2000000
b0,2,1,1,2.5,1.0,0.6032085561497326,0.752501667778519,0.7564342394456874,1870,2,1128,2000000
b0,2,1,1,3.0,1.0,0.820855614973262,0.9016152716593245,0.7564342394456874,1870,2,1535,2000000
b10,2,1,1,1.0,0.5,0.03789636504253674,0.0704529115744069,0.879963042050349,1293,1,49,2020000
b10,2,1,1,1.5,1.0,0.3704563031709203,0.5406320541760722,0.879963042050349,1293,2,479,2020000
b10,2,1,1,2.0,1.0,0.6782675947409126,0.808294930875576,0.879963042050349,1293,2,877,2020000
b10,2,1,1,2.5,1.0,0.848414539829853,0.9179916317991632,0.879963042050349,1293,2,1097,2020000
b10,2,1,1,3.0,1.0,0.9419953596287703,0.9701314217443251,0.879963042050349,1293,2,1218,2020000
v3f2,2,1,2,1.0,0.5,0.5,0.5,1.2516403004241825,2,1,1,16860
v3f2,2,1,2,1.5,0.5,0.5,0.5,1.2516403004241825,2,1,1,16860
v3f2,2,1,2,2.0,1.0,1.0,1.0,1.2516403004241825,2,2,2,16860
v3f2,2,1,2,2.5,1.0,1.0,1.0,1.2516403004241825,2,2,2,16860
v3f2,2,1,2,3.0,1.0,1.0,1.0,1.2516403004241825,2,2,2,16860
b0,2,1,2,1.0,0.5,0.0010723860589812334,0.0021401819154628146,0.9876372297937115,1865,1,2,2000000
