run_name,checkpoint,method,r_value,seed,n_samples,reference_cells,k_mean_shift,iterations,final_max_shift,raw_modes,nfe,elapsed_sec,modes_path
all_data_mean_shift_k200_n1000_R0.8_seed1,all,data_mean_shift,0.8,1,1000,167044,200,88,2.767767739442206e-07,33,0,12.95285883298493,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R0.8_seed1.npy
all_data_mean_shift_k200_n1000_R1.5_seed1,all,data_mean_shift,1.5,1,1000,167044,200,88,2.767767739442206e-07,26,0,12.95285883298493,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R1.5_seed1.npy
all_data_mean_shift_k200_n1000_R2_seed1,all,data_mean_shift,2.0,1,1000,167044,200,88,2.767767739442206e-07,23,0,12.95285883298493,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R2_seed1.npy
all_data_mean_shift_k200_n1000_R0.8_seed2,all,data_mean_shift,0.8,2,1000,167044,200,80,2.0647654253025394e-07,34,0,11.624482708022697,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R0.8_seed2.npy
all_data_mean_shift_k200_n1000_R1.5_seed2,all,data_mean_shift,1.5,2,1000,167044,200,80,2.0647654253025394e-07,25,0,11.624482708022697,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R1.5_seed2.npy
all_data_mean_shift_k200_n1000_R2_seed2,all,data_mean_shift,2.0,2,1000,167044,200,80,2.0647654253025394e-07,22,0,11.624482708022697,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R2_seed2.npy
all_data_mean_shift_k200_n1000_R0.8_seed3,all,data_mean_shift,0.8,3,1000,167044,200,86,2.0647654253025394e-07,36,0,13.217563959013205,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R0.8_seed3.npy
all_data_mean_shift_k200_n1000_R1.5_seed3,all,data_mean_shift,1.5,3,1000,167044,200,86,2.0647654253025394e-07,27,0,13.217563959013205,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R1.5_seed3.npy
all_data_mean_shift_k200_n1000_R2_seed3,all,data_mean_shift,2.0,3,1000,167044,200,86,2.0647654253025394e-07,24,0,13.217563959013205,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R2_seed3.npy
all_data_mean_shift_k200_n1000_R0.8_seed4,all,data_mean_shift,0.8,4,1000,167044,200,82,2.4073563054116676e-07,34,0,13.609153625002364,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R0.8_seed4.npy
all_data_mean_shift_k200_n1000_R1.5_seed4,all,data_mean_shift,1.5,4,1000,167044,200,82,2.4073563054116676e-07,26,0,13.609153625002364,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R1.5_seed4.npy
all_data_mean_shift_k200_n1000_R2_seed4,all,data_mean_shift,2.0,4,1000,167044,200,82,2.4073563054116676e-07,22,0,13.609153625002364,results_levine13/additional_complete_fixed_checkpoint/data_mean_shift_k200/modes_all_data_mean_shift_k200_n1000_R2_seed4.npy
